,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0,15/10/2007,23:57:00,0.248,0.056,239.130,1.000,0.000,0.000,0.0
1,2/11/2010,03:27:00,0.318,0.0,249.79,1.4,0.0,0.0,1.0
2,25/5/2008,17:03:00,0.786,0.218,241.340,3.400,0.000,2.000,0.0
3,8/9/2009,11:59:00,0.234,0.126,242.790,1.000,0.000,0.000,1.0
4,19/2/2008,22:53:00,0.340,0.092,242.650,1.400,0.000,0.000,0.0
5,28/10/2010,23:47:00,0.856,0.258,243.99,3.6,0.0,0.0,1.0
6,11/4/2007,13:30:00,0.314,0.120,241.140,1.400,0.000,0.000,0.0
7,19/8/2010,19:43:00,?,?,?,?,?,?,
8,15/8/2010,09:21:00,0.614,0.252,244.330,2.600,0.000,1.000,1.0
9,24/4/2007,02:48:00,0.166,0.000,237.000,0.800,0.000,0.000,0.0
10,7/10/2008,18:27:00,0.596,0.000,238.350,2.400,0.000,0.000,1.0
11,27/6/2009,10:37:00,1.554,0.318,241.500,6.600,0.000,2.000,18.0
12,13/10/2010,20:51:00,1.650,0.000,237.590,7.000,0.000,1.000,0.0
13,5/6/2009,15:48:00,0.190,0.000,239.730,0.800,0.000,0.000,1.0
14,18/10/2009,21:47:00,1.604,0.000,237.750,6.600,0.000,2.000,1.0
15,2/4/2010,15:46:00,1.504,0.070,247.570,6.000,0.000,0.000,20.0
16,26/1/2010,05:57:00,0.264,0.000,243.280,1.000,0.000,0.000,1.0
17,14/5/2007,01:02:00,0.380,0.234,235.730,1.800,0.000,2.000,0.0
18,11/12/2007,23:54:00,0.296,0.076,246.010,1.200,0.000,0.000,0.0
19,20/4/2009,23:17:00,1.346,0.162,244.030,5.400,0.000,0.000,11.0
20,26/1/2010,14:11:00,0.768,0.060,246.600,3.000,0.000,0.000,1.0
21,5/6/2009,03:45:00,0.294,0.106,243.330,1.200,0.000,0.000,1.0
22,8/6/2009,03:01:00,0.338,0.100,241.710,1.600,0.000,1.000,1.0
23,23/9/2008,01:00:00,0.908,0.224,240.810,3.800,0.000,1.000,12.0
24,18/12/2007,21:38:00,4.002,0.058,238.690,16.800,0.000,0.000,17.0
25,12/3/2008,22:17:00,1.754,0.116,238.600,7.200,1.000,0.000,17.0
26,9/1/2010,13:37:00,0.524,0.190,242.860,2.200,0.000,0.000,1.0
27,3/6/2008,14:15:00,0.254,0.112,234.010,1.200,0.000,0.000,0.0
28,8/1/2009,11:43:00,1.342,0.056,241.880,5.400,0.000,0.000,18.0
29,12/9/2009,04:42:00,0.234,0.120,242.990,1.000,0.000,0.000,1.0
30,14/10/2009,03:05:00,0.288,0.074,240.950,1.200,0.000,0.000,0.0
31,21/3/2008,20:49:00,2.800,0.280,237.940,11.800,0.000,1.000,18.0
32,30/9/2009,04:19:00,0.294,0.208,241.530,1.400,0.000,0.000,1.0
33,27/1/2010,17:41:00,3.838,0.136,235.850,16.200,0.000,36.000,0.0
34,3/8/2008,16:05:00,0.320,0.240,237.780,1.600,0.000,2.000,1.0
35,19/7/2008,01:36:00,0.252,0.092,240.110,1.200,0.000,0.000,1.0
36,8/8/2008,00:21:00,0.240,0.248,238.990,1.400,0.000,0.000,0.0
37,3/8/2008,16:58:00,0.218,0.096,238.520,1.000,0.000,0.000,1.0
38,19/6/2010,13:14:00,1.632,0.374,241.510,6.800,0.000,0.000,19.0
39,18/11/2009,02:45:00,0.226,0.000,244.240,0.800,0.000,0.000,1.0
40,9/5/2008,14:43:00,3.732,0.096,236.820,15.600,37.000,0.000,18.0
41,14/7/2007,06:45:00,0.276,0.194,240.820,1.400,0.000,2.000,0.0
42,28/6/2007,19:37:00,2.912,0.310,238.850,12.200,0.000,2.000,18.0
43,6/4/2007,15:54:00,0.312,0.116,244.190,1.400,0.000,1.000,0.0
44,29/5/2009,22:09:00,1.474,0.270,239.340,6.200,1.000,2.000,1.0
45,10/6/2009,14:48:00,0.640,0.190,242.600,2.800,0.000,0.000,1.0
46,30/10/2010,00:35:00,2.518,0.0,243.32,10.4,0.0,0.0,19.0
47,30/7/2008,09:17:00,0.346,0.000,239.640,1.800,0.000,0.000,1.0
48,27/8/2007,04:21:00,0.274,0.244,240.300,1.400,0.000,1.000,0.0
49,14/2/2008,20:54:00,1.176,0.186,238.850,5.000,0.000,0.000,0.0
50,3/4/2009,01:11:00,0.386,0.122,240.620,1.800,0.000,2.000,0.0
51,9/3/2009,18:19:00,0.402,0.000,242.800,2.000,0.000,0.000,0.0
52,5/11/2008,15:03:00,5.638,0.424,237.870,24.000,0.000,75.000,0.0
53,5/8/2010,04:13:00,1.290,0.092,239.840,5.400,0.000,1.000,19.0
54,6/6/2007,04:25:00,0.178,0.048,236.180,0.800,0.000,0.000,0.0
55,27/12/2009,06:29:00,0.250,0.000,246.580,1.000,0.000,0.000,1.0
56,29/12/2008,00:45:00,0.214,0.000,247.540,0.800,0.000,0.000,0.0
57,20/1/2009,02:48:00,0.348,0.134,244.800,1.600,0.000,0.000,0.0
58,10/11/2010,14:33:00,1.418,0.07,238.3,5.8,0.0,0.0,18.0
59,10/12/2009,08:23:00,2.488,0.100,239.360,10.400,0.000,2.000,18.0
60,20/7/2007,10:58:00,0.302,0.100,234.200,1.600,0.000,1.000,0.0
61,9/3/2009,14:02:00,1.726,0.154,245.180,7.000,0.000,0.000,18.0
62,14/9/2009,19:49:00,2.266,0.114,239.070,9.400,0.000,0.000,18.0
63,15/8/2008,17:54:00,0.194,0.154,242.270,1.000,0.000,0.000,1.0
64,14/6/2007,21:01:00,2.408,0.332,239.750,10.800,30.000,1.000,0.0
65,7/3/2010,04:54:00,0.520,0.084,247.420,2.000,0.000,0.000,1.0
66,17/12/2008,11:59:00,1.806,0.354,243.520,7.400,0.000,1.000,18.0
67,24/11/2009,19:20:00,1.898,0.076,238.730,7.800,0.000,1.000,1.0
68,22/12/2008,05:28:00,0.316,0.066,244.260,1.400,0.000,0.000,0.0
69,1/7/2008,14:25:00,0.538,0.234,238.410,2.400,0.000,0.000,0.0
70,22/2/2010,21:15:00,2.502,0.140,239.260,10.400,0.000,0.000,18.0
71,17/9/2010,04:34:00,0.246,0.086,240.700,1.000,0.000,0.000,1.0
72,29/5/2010,22:43:00,1.990,0.000,241.390,8.200,0.000,0.000,18.0
73,31/3/2009,17:44:00,0.604,0.070,242.750,3.000,0.000,0.000,0.0
74,24/2/2008,15:57:00,0.216,0.000,242.200,0.800,0.000,0.000,0.0
75,15/4/2008,21:53:00,3.104,0.066,235.400,13.200,0.000,0.000,18.0
76,22/10/2010,17:09:00,0.450,0.196,243.330,2.000,0.000,2.000,1.0
77,22/1/2008,02:45:00,0.426,0.104,245.840,1.800,0.000,0.000,0.0
78,4/3/2008,04:32:00,0.518,0.000,244.800,2.000,0.000,0.000,0.0
79,7/3/2007,00:42:00,0.280,0.066,242.380,1.200,0.000,0.000,0.0
80,3/3/2007,05:20:00,0.218,0.000,242.850,0.800,0.000,0.000,0.0
81,27/3/2010,00:59:00,0.344,0.108,239.200,1.400,0.000,0.000,1.0
82,25/7/2007,15:57:00,0.216,0.104,232.910,1.000,0.000,0.000,0.0
83,27/12/2006,01:22:00,0.476,0.174,248.050,2.200,0.000,1.000,0.0
84,20/3/2007,00:18:00,0.386,0.240,244.900,1.800,0.000,2.000,0.0
85,24/6/2010,06:07:00,0.798,0.194,239.250,3.400,0.000,2.000,1.0
86,15/8/2009,15:54:00,2.850,0.294,238.160,12.000,38.000,0.000,1.0
87,27/6/2010,17:26:00,0.340,0.236,240.590,1.600,0.000,0.000,0.0
88,4/5/2008,10:59:00,1.348,0.000,240.680,5.600,0.000,0.000,19.0
89,12/2/2008,18:41:00,1.236,0.218,237.070,5.200,0.000,1.000,0.0
90,3/9/2007,22:47:00,0.262,0.162,242.550,1.200,0.000,0.000,0.0
91,23/8/2010,13:01:00,0.270,0.104,241.420,1.200,0.000,0.000,0.0
92,15/4/2007,00:52:00,0.350,0.176,240.890,1.600,0.000,0.000,0.0
